거래처,구분,총계,토스도착,도착보장,당일도착,일반배송,CS처리건,비고
신앙촌에프앤디(주)(저온),냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
신앙촌에프앤디(주)(저온),냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
유얼푸드(저온),냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
유얼푸드(저온),냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 포어스코퍼레이션(저온),냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 포어스코퍼레이션(저온),냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 다이트랩(저온),냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 다이트랩(저온),냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 대정,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 대정,냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
베버시티마켓_저온,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
베버시티마켓_저온,냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
플레인바디,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
플레인바디,냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 인산가,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 인산가,냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
(주)케이스퍼시픽,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
(주)케이스퍼시픽,냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
제라진컴퍼니,냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
제라진컴퍼니,냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 와이즐리(저온),냉동,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
주식회사 와이즐리(저온),냉장,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,,
